usually,1089,2005
earlier,1090,2005
boss,1091,2003
Laura,1092,2001
beginning,1093,2001
liked,1094,1995
innocent,1095,1989
doc,1096,1989
rules,1097,1988
Elizabeth,1098,1988
Sabrina,1099,1985
summer,1100,1984
ex,1101,1979
cop,1102,1976
learned,1103,1971
thirty,1104,1956
risk,1105,1954
letting,1106,1954
Phillip,1107,1950
speaking,1108,1945
officer,1109,1945
ridiculous,1110,1943
support,1111,1942
afternoon,1112,1941
Eric,1113,1940
born,1114,1936
dreams,1115,1935
apologize,1116,1932
seat,1117,1930
nervous,1118,1930
across,1119,1928
song,1120,1925
Olivia,1121,1923
charge,1122,1923
patient,1123,1919
Cassie,1124,1919
boat,1125,1915
how'd,1126,1913
brain,1127,1911
hide,1128,1910
detective,1129,1910
Aaron,1130,1908
Kendall,1131,1907
general,1132,1907
Tom,1133,1906
planning,1134,1906
nine,1135,1906
huge,1136,1904
breakfast,1137,1901
horrible,1138,1900
age,1139,1899
awful,1140,1893
pleasure,1141,1889
driving,1142,1889
hanging,1143,1888
picked,1144,1887
system,1145,1885
sell,1146,1885
quit,1147,1885
apparently,1148,1885
dying,1149,1883
notice,1150,1872
Josh,1151,1868
congratulations,1152,1868
chief,1153,1867
faith,1154,1865
Simon,1155,1859
gay,1156,1859
ho,1157,1857
one's,1158,1856
month,1159,1856
visit,1160,1855
Hal,1161,1852
could've,1162,1852
c'mon,1163,1851
aw,1164,1845
Edmund,1165,1844
Brady,1166,1841
letter,1167,1839
decide,1168,1837
American,1169,1835
double,1170,1834
Troy,1171,1833
sad,1172,1832
press,1173,1832
forward,1174,1827
fool,1175,1825
showed,1176,1823
smell,1177,1822
seemed,1178,1816
Mary,1179,1815
spell,1180,1813
Courtney,1181,1812
memory,1182,1811
Mark,1183,1809
Alan,1184,1805
pictures,1185,1804
Paris,1186,1804
slow,1187,1794
Joe,1188,1794
Tim,1189,1788
seconds,1190,1788
hungry,1191,1786
board,1192,1786
position,1193,1784
hearing,1194,1784
Roz,1195,1782
kitchen,1196,1778
ma'am,1197,1777
Bob,1198,1776
force,1199,1775
fly,1200,1774
during,1201,1773
space,1202,1767
should've,1203,1767
realized,1204,1767
experience,1205,1767
kick,1206,1761
others,1207,1758
grab,1208,1757
mother's,1209,1754
P,1210,1751
Sharon,1211,1750
discuss,1212,1749
third,1213,1747
cat,1214,1742
fifty,1215,1737
responsible,1216,1735
Jennifer,1217,1732
Philip,1218,1731
miles,1219,1731
fat,1220,1730
reading,1221,1729
idiot,1222,1729
yep,1223,1728
rock,1224,1728
rich,1225,1725
suddenly,1226,1723
agent,1227,1721
bunch,1228,1720
destroy,1229,1717
bucks,1230,1717
track,1231,1714
shoes,1232,1713
scene,1233,1712
peace,1234,1711
arms,1235,1707
demon,1236,1703
Diane,1237,1700
Bridget,1238,1697
Brad,1239,1694
low,1240,1690
Livvie,1241,1689
consider,1242,1689
papers,1243,1688
medical,1244,1687
incredible,1245,1687
witch,1246,1684
er,1247,1683
drunk,1248,1682
attorney,1249,1682
Charlie,1250,1681
tells,1251,1675
knock,1252,1674
Karen,1253,1673
ways,1254,1672
eh,1255,1671
belle,1256,1671
cash,1257,1670
gives,1258,1660
department,1259,1660
nose,1260,1658
Skye,1261,1655
turns,1262,1653
keeps,1263,1651
beer,1264,1651
jealous,1265,1643
drug,1266,1639
Molly,1267,1638
sooner,1268,1637
cares,1269,1635
plenty,1270,1634
extra,1271,1634
tea,1272,1628
won,1273,1627
attack,1274,1627
ground,1275,1626
whose,1276,1624
outta,1277,1621
Kyle,1278,1618
L,1279,1617
weekend,1280,1616
matters,1281,1614
wrote,1282,1613
type,1283,1612
father's,1284,1611
Alex,1285,1609
gosh,1286,1602
opportunity,1287,1601
king,1288,1600
impossible,1289,1600
books,1290,1600
machine,1291,1599
waste,1292,1596
th,1293,1596
pretend,1294,1593
named,1295,1591
danger,1296,1585
wall,1297,1581
Liz,1298,1581
Ian,1299,1580
Henry,1300,1580
jump,1301,1576
eating,1302,1576
proof,1303,1573
complete,1304,1572
slept,1305,1570
career,1306,1567
arrest,1307,1567
star,1308,1566
Phyllis,1309,1561
Mac,1310,1561
breathe,1311,1561
perfectly,1312,1559
warm,1313,1557
pulled,1314,1557
Maria,1315,1553
twice,1316,1551
easier,1317,1547
killer,1318,1544
goin',1319,1543
dating,1320,1543
suit,1321,1542
romantic,1322,1542
drugs,1323,1537
comfortable,1324,1534
Isaac,1325,1532
powers,1326,1531
finds,1327,1530
checked,1328,1530
fit,1329,1527
divorce,1330,1526
begin,1331,1526
ourselves,1332,1525
closer,1333,1523
ruin,1334,1521
although,1335,1520
smile,1336,1516
laugh,1337,1515
fish,1338,1515
Abigail,1339,1515
treat,1340,1513
god's,1341,1512
fear,1342,1512
Anna,1343,1509
what'd,1344,1508
Simone,1345,1508
Amber,1346,1505
guy's,1347,1504
otherwise,1348,1499
excited,1349,1499
mail,1350,1497
hiding,1351,1496
cost,1352,1496
green,1353,1494
stole,1354,1493
Pacey,1355,1492
noticed,1356,1492
Liza,1357,1491
fired,1358,1490
Daphne,1359,1490
Whitney,1360,1489
excellent,1361,1486
lived,1362,1485
bringing,1363,1483
pop,1364,1481
piper,1365,1481
bottom,1366,1480
note,1367,1479
sudden,1368,1477
church,1369,1474
bathroom,1370,1474
flight,1371,1473
Chad,1372,1473
la,1373,1472
honestly,1374,1472
sing,1375,1469
Katie,1376,1469
foot,1377,1468
games,1378,1467
glass,1379,1466
N,1380,1464
Mitch,1381,1464
remind,1382,1460
bank,1383,1460
